nombre;sigla;color
MOVIMIENTO DE ORGANIZACIÓN POPULAR;MOP;#6d93ef
UNIDAD CIVICA SOLIDARIDAD;UCS;#f4fe23
ALIANZA PATRIA UNIDOS;APU;#2c55bf
MOVIMIENTO TERCER SISTEMA;MTS;#e27f4d
ALIANZA UNIDOS POR LOS PUEBLOS;AUP;#dc0e31
LIBERTAD Y REPÚBLICA;LIRE;#b7df6e
AUTONOMÍA PARA BOLIVIA SÚMATE;APB;#84b4d1
ALIANZA SOCIAL;ALSO;#1fc45e
ALIANZA PROYECTO PAÍS;APP;#7423c7
CONCEJO DE AYLLUS ORIGINARIOS DE POTOSI;CAO;#7533b1
FRENTE DE UNIDAD NACIONAL;FUN;#8fec04
